movie_title,production_date,genres,runtime_minutes,director_name,director_professions,director_birthYear,director_deathYear,movie_averageRating,movie_numerOfVotes,approval_Index,Production budget $,Domestic gross $,Worldwide gross $
Bad Santa,2003-11-26,"Comedy,Crime,Drama",92.0,Terry Zwigoff,"director,writer,producer",1949,alive,7.1,147996.0,6.087111945278878,18000000,60060328,77147031
The Ladykillers,2004-03-26,"Comedy,Crime,Thriller",104.0,-,-,-,-,6.2,106007.0,5.146582111130496,35000000,39692139,77392139
Evil Dead,2013-04-03,Horror,91.0,Fede Alvarez,"writer,producer,director",1978,alive,6.5,176183.0,5.644942721011352,17000000,54239856,99041947
Diamonds Are Forever,1971-11-26,"Action,Adventure,Thriller",120.0,Guy Hamilton,"director,assistant_director,writer",1922,2016,6.5,108417.0,5.412739779402359,7200000,43800000,115999985
I Am Sam,2001-12-28,Drama,132.0,Jessie Nelson,"writer,producer,director",\N,alive,7.6,151387.0,6.537733104478156,22000000,40270895,92542418
Nope,2022-07-21,"Horror,Mystery,Sci-Fi",130.0,Jordan Peele,"actor,writer,producer",1979,alive,6.9,196542.0,6.055951355491226,68000000,123277080,171172007
The Kid,2019-03-08,"Biography,Drama,Western",100.0,Vincent D'Onofrio,"actor,producer,soundtrack",1959,alive,5.9,8842.0,3.8128913889367793,7000000,1508593,1593173
Popeye,1980-12-12,"Adventure,Comedy,Family",114.0,Robert Altman,"director,producer,writer",1925,2006,5.3,32655.0,3.9211945856963935,20000000,49823037,49823037
The Unborn,2009-01-09,"Horror,Mystery,Thriller",88.0,David S. Goyer,"writer,producer,director",1965,alive,4.7,52149.0,3.624234533635736,16000000,42670410,78208812
Baghead,2008-06-13,"Comedy,Drama,Horror",84.0,-,-,-,-,6.0,5093.0,3.6362265845754105,200000,140016,140016
Water for Elephants,2011-04-22,"Drama,Romance",122.0,Francis Lawrence,"director,producer,writer",1971,alive,6.9,117543.0,5.794973401269522,38000000,58709717,116809717
Patti Cake$,2017-08-18,"Drama,Music",109.0,Geremy Jasper,"director,soundtrack,writer",1975,alive,6.8,10331.0,4.492494723131769,1000000,800148,1471090
Out of the Furnace,2013-12-04,"Action,Crime,Drama",116.0,Scott Cooper,"actor,director,writer",1970,alive,6.7,118673.0,5.627898403272463,22000000,11330849,15434375
Stranger Than Fiction,2006-11-10,"Comedy,Drama,Fantasy",113.0,Marc Forster,"producer,director,writer",1969,alive,7.6,230878.0,6.77373109311017,30000000,40435190,53572822
Masked and Anonymous,2003-07-24,"Comedy,Drama,Music",112.0,Larry Charles,"producer,writer,miscellaneous",1956,alive,5.3,4853.0,3.177797332065244,7500000,533344,555335
The Transporter,2002-10-11,"Action,Crime,Thriller",92.0,-,-,-,-,6.8,307312.0,6.18990592770578,21000000,25296447,43928932
Brother Bear,2003-10-24,"Adventure,Animation,Comedy",85.0,-,-,-,-,6.8,113780.0,5.692798875536859,46000000,85336277,250397798
Only the Strong,1993-01-01,"Action,Drama",99.0,Sheldon Lettich,"writer,director,producer",1951,alive,6.5,6438.0,4.062306736052015,6000000,3273588,3273588
The Hobbit: The Battle of the Five Armies,2014-12-10,"Adventure,Fantasy",144.0,Peter Jackson,"producer,director,writer",1961,alive,7.4,539316.0,7.05392872670275,250000000,255119788,940323039
Flight of the Intruder,1991-01-18,"Action,Drama,Thriller",115.0,John Milius,"writer,producer,director",1944,alive,5.7,7308.0,3.599262313550419,35000000,14471440,14471440
The Mummy Returns,2001-05-04,"Action,Adventure,Fantasy",130.0,Stephen Sommers,"producer,writer,director",1962,alive,6.4,329937.0,5.8514896905712375,98000000,202007640,435040395
Life of Pi,2012-11-21,"Adventure,Drama,Fantasy",127.0,Ang Lee,"director,producer,writer",1954,alive,7.9,636744.0,7.635977646054371,120000000,124987022,619310368
The Danish Girl,2015-11-27,"Biography,Crime,Drama",119.0,Tom Hooper,"director,producer,writer",1972,alive,7.1,189088.0,6.215110071880701,15000000,11114018,67514963
The Game Plan,2007-09-28,"Comedy,Family,Sport",110.0,Andy Fickman,-,\N,alive,6.2,76413.0,4.997255255767384,22000000,90648202,146590987
The Da Vinci Code,2006-05-19,"Mystery,Thriller",149.0,Ron Howard,"producer,actor,writer",1954,alive,6.6,437963.0,6.176004963079792,125000000,217536138,767820459
The Border,1982-01-29,"Crime,Drama",108.0,Tony Richardson,"director,producer,writer",1928,1991,6.4,6751.0,4.020135551646557,13500000,6118683,6118683
The Craft,1996-05-03,"Drama,Fantasy,Horror",101.0,Andrew Fleming,"director,producer,writer",1965,alive,6.4,97278.0,5.276389592092253,15000000,24769466,55669466
Rampage,2018-04-09,"Action,Adventure,Sci-Fi",107.0,Brad Peyton,"writer,producer,director",1978,alive,6.1,171590.0,5.277593675991121,120000000,101028233,427947217
The Lion King,1994-06-15,"Adventure,Animation,Drama",88.0,-,-,-,-,8.5,1066010.0,8.548206678442119,79300000,421785283,986193783
Predators,2010-07-09,"Action,Adventure,Sci-Fi",107.0,Nimród Antal,"director,actor,writer",1973,alive,6.4,234509.0,5.6907273916095065,40000000,52000688,127234389
Doubt,2008-12-12,"Drama,Mystery",104.0,John Patrick Shanley,"writer,director,soundtrack",1950,alive,7.5,131258.0,6.371245967023701,20000000,33446470,53191101
I Don't Know How She Does It,2011-09-16,"Comedy,Romance",89.0,Douglas McGrath,"writer,actor,director",1958,2022,4.9,20687.0,3.4507322699291443,24000000,9659074,24474463
The Goldfinch,2019-09-12,Drama,149.0,John Crowley,director,1969,alive,6.4,24367.0,4.624529250217587,40000000,5332621,9429910
Tears of the Sun,2003-03-07,"Action,Drama,Thriller",121.0,Antoine Fuqua,"director,producer,actor",1965,alive,6.6,124639.0,5.565750668079195,75000000,43632458,85632458
Spider-Man 2,2004-06-30,"Action,Adventure,Sci-Fi",127.0,Sam Raimi,"producer,writer,director",1959,alive,7.4,660254.0,7.164084608470866,200000000,373524485,794697557
If I Stay,2014-08-22,"Drama,Fantasy,Music",107.0,R.J. Cutler,"producer,director,writer",1962,alive,6.7,124642.0,5.65208949588857,11000000,50474843,78356170
Table 19,2017-03-03,"Comedy,Drama,Romance",87.0,Jeffrey Blitz,"producer,director,writer",1969,alive,5.8,29359.0,4.258151120638519,5000000,3614896,4620399
Blade Runner,1982-06-25,"Action,Drama,Sci-Fi",117.0,Ridley Scott,"producer,director,production_designer",1937,alive,8.1,776451.0,7.950848745828169,28000000,32656328,39538663
Boogie Nights,1997-10-10,Drama,155.0,Paul Thomas Anderson,"director,writer,producer",1970,alive,7.9,269185.0,7.1355453172154215,15000000,26410771,43111725
The Gallows,2015-07-09,"Horror,Mystery,Thriller",81.0,-,-,-,-,4.2,20893.0,2.9419997585079978,100000,22764410,41656474
Widows,2018-11-06,"Crime,Drama,Thriller",129.0,Steve McQueen,"director,producer,writer",1969,alive,6.8,99514.0,5.625773045870992,40000000,42402632,75984700
Ice Age: Continental Drift,2012-06-27,"Adventure,Animation,Comedy",88.0,-,-,-,-,6.5,212648.0,5.734906482077699,95000000,161321843,879765137
Jackpot,2001-07-27,"Comedy,Drama",97.0,Michael Polish,"director,producer,writer",1970,alive,5.6,588.0,2.4955136360961703,400000,44452,44452
Appaloosa,2008-09-19,"Action,Crime,Drama",115.0,Ed Harris,"actor,producer,director",1950,alive,6.7,62253.0,5.309862241096623,20000000,20211394,27911453
The Beach Bum,2019-03-21,Comedy,95.0,Harmony Korine,"director,writer,actor",1973,alive,5.5,23161.0,3.935125721892651,5000000,3502600,4267808
The Four Feathers,2002-09-20,"Action,Adventure,Drama",132.0,Shekhar Kapur,"actor,director,producer",1945,alive,6.5,34633.0,4.866984982468637,35000000,18306166,29882645
Before I Fall,2017-03-03,"Drama,Fantasy,Mystery",98.0,Ry Russo-Young,"director,actress,producer",\N,alive,6.4,53771.0,4.9972333966854805,5000000,12241072,18945682
Secret Window,2004-03-12,"Drama,Mystery,Thriller",96.0,David Koepp,"writer,miscellaneous,director",1963,alive,6.5,199694.0,5.704848248613001,40000000,47958031,92110539
Dinner for Schmucks,2010-07-30,Comedy,114.0,Jay Roach,"producer,director,writer",1957,alive,5.9,108038.0,4.8994132973121935,69000000,73026337,86796502
Kiss the Girls,1997-10-03,"Crime,Drama,Mystery",115.0,Gary Fleder,"producer,director,miscellaneous",1965,alive,6.6,75844.0,5.324534451341023,27000000,60527873,60527873
Richard III,1995-12-29,"Drama,Sci-Fi,War",110.0,Richard Loncraine,"director,writer,actor",1946,alive,7.3,14980.0,5.032086431317179,9200000,2684904,4199334
Dora and the Lost City of Gold,2019-08-08,"Action,Adventure,Comedy",102.0,James Bobin,"writer,director,producer",1972,alive,6.1,31757.0,4.520456783830956,49000000,60477943,120592276
The Girlfriend Experience,2009-05-22,Drama,77.0,Steven Soderbergh,"producer,director,cinematographer",1963,alive,5.5,16843.0,3.8062265075686863,1300000,695840,1005840
Along Came a Spider,2001-04-06,"Drama,Thriller",104.0,Lee Tamahori,"director,assistant_director,sound_department",1950,alive,6.4,89495.0,5.237122809378181,28000000,74058698,105159085
San Andreas,2015-05-27,"Action,Adventure,Thriller",114.0,Brad Peyton,"writer,producer,director",1978,alive,6.1,241643.0,5.431244706750364,110000000,155190832,456258539
Anonymous,2011-10-28,"Drama,Thriller",130.0,Roland Emmerich,"writer,producer,director",1955,alive,6.8,41313.0,5.185939377667337,27500000,4463292,15815509
The Interpreter,2005-04-22,"Crime,Mystery,Thriller",128.0,Sydney Pollack,"director,producer,actor",1934,2008,6.4,108526.0,5.327911898054008,90000000,72708161,162753837
Mustang,2015-06-19,Drama,97.0,Deniz Gamze Ergüven,"director,actress,writer",1978,alive,7.6,39307.0,5.783726672273815,1400000,845464,5552584
Street Fighter,1994-12-23,"Action,Adventure,Comedy",102.0,Steven E. de Souza,"writer,producer,miscellaneous",1947,alive,4.0,72351.0,3.1611819239540284,35000000,33423000,99423000
Mary Queen of Scots,2018-12-07,"Biography,Drama,History",124.0,Josie Rourke,"director,miscellaneous,writer",\N,alive,6.3,51848.0,4.900211247631756,25000000,16648499,48481754
The Ring Two,2005-03-18,"Horror,Mystery",110.0,Hideo Nakata,"director,writer,producer",1961,alive,5.4,97601.0,4.432672476565926,50000000,75941727,161941727
The American President,1995-11-17,"Comedy,Drama,Romance",114.0,Rob Reiner,"actor,writer,producer",1947,alive,6.8,58410.0,5.359201906806641,62000000,60022813,107822813
Man on Wire,2008-07-25,"Biography,Crime,Documentary",94.0,James Marsh,"director,producer,writer",1963,alive,7.7,56676.0,6.068882934392541,1900000,2962242,5617067
Repo! The Genetic Opera,2008-11-07,"Horror,Musical,Sci-Fi",98.0,Darren Lynn Bousman,"director,producer,writer",1979,alive,6.4,25453.0,4.6450614612666055,8500000,140244,198883
The Secret Life of Walter Mitty,2013-12-19,"Adventure,Comedy,Drama",114.0,Ben Stiller,"producer,actor,director",1965,alive,7.3,321780.0,6.679448338295593,91000000,58236838,187861183
Jumping the Broom,2011-05-06,"Comedy,Drama",112.0,Salim Akil,"producer,director,writer",1964,alive,5.7,11035.0,3.772089016984619,7000000,37295394,38158601
The Hustler,1961-09-25,"Drama,Sport",134.0,Robert Rossen,"writer,director,producer",1908,1966,8.0,83305.0,6.537173249121397,2000000,7600000,7600000
Furry Vengeance,2010-04-30,"Comedy,Family",92.0,Roger Kumble,"director,producer,writer",1966,alive,3.8,17484.0,2.599452192021699,35000000,17630465,39340177
My Cousin Vinny,1992-03-13,"Comedy,Crime",120.0,Jonathan Lynn,"writer,actor,director",1943,alive,7.6,128201.0,6.444776489504111,11000000,52929168,52929168
Holy Man,1998-10-09,"Comedy,Drama",114.0,Stephen Herek,"producer,director,editorial_department",1958,alive,4.9,20355.0,3.4448994850156374,60000000,12069719,12069719
Guiana 1838,2004-09-24,Drama,120.0,Rohit Jagessar,"producer,director,actor",\N,alive,7.0,77.0,2.1053424701531025,1000000,227241,227241
The Gift,2000-12-19,"Drama,Fantasy,Horror",112.0,Sam Raimi,"producer,writer,director",1959,alive,6.7,70723.0,5.3727453718716776,10000000,12008642,44567606
Dragon Wars: D-War,2007-09-14,"Action,Drama,Fantasy",107.0,Hyung-rae Shim,"actor,director,producer",1958,alive,3.5,24729.0,2.4731019861854437,32000000,10977721,79915361
Sisters,2015-12-18,Comedy,118.0,Jason Moore,"director,actor,producer",1970,alive,6.0,67526.0,4.777219921342509,30000000,87044645,106030660
Unforgiven,1992-08-07,"Drama,Western",130.0,Clint Eastwood,"actor,producer,director",1930,alive,8.2,415625.0,7.67359260545974,14400000,101157447,159157447
Us,2019-03-20,"Horror,Mystery,Thriller",116.0,Jordan Peele,"actor,writer,producer",1979,alive,6.8,306083.0,6.187901077237843,20000000,175084580,256022707
Dolphin Tale,2011-09-23,"Drama,Family",113.0,Charles Martin Smith,"actor,director,writer",1953,alive,6.8,24762.0,4.929846859837752,37000000,72286779,96068724
Wanted,2008-06-27,"Action,Crime,Thriller",110.0,Timur Bekmambetov,"producer,director,writer",1961,alive,6.7,393561.0,6.218882321022887,75000000,134508551,342416460
Calendar Girls,2003-10-09,"Comedy,Drama",108.0,Nigel Cole,"director,actor,assistant_director",1959,alive,6.9,26970.0,5.04764570256742,10000000,31011616,93074616
The Water Diviner,2014-12-26,"Drama,History,War",111.0,Russell Crowe,"actor,soundtrack,director",1964,alive,7.0,76095.0,5.656924762445813,22500000,4200117,31054727
Let's Talk About Sex,1998-09-11,Drama,82.0,Troy Byer,"actress,writer,director",1964,alive,3.7,327.0,1.4443595905977182,300000,373615,373615
The Lizzie McGuire Movie,2003-05-02,"Adventure,Comedy,Family",94.0,Jim Fall,"director,writer,producer",1962,alive,5.5,40321.0,4.159471958991163,15000000,42734455,55534455
I Spit on Your Grave,2010-10-08,"Horror,Thriller",108.0,Steven R. Monroe,"camera_department,director,producer",1964,alive,6.2,86221.0,5.052342237707522,1750000,93051,1278471
xXx: Return of Xander Cage,2017-01-19,"Action,Adventure,Thriller",107.0,D.J. Caruso,"director,producer,writer",1965,alive,5.2,93427.0,4.246894851184483,85000000,44898413,345033359
Sleepless,2017-01-11,"Action,Thriller",95.0,Baran bo Odar,"director,writer,producer",1978,alive,5.6,33046.0,4.155515101986669,30000000,20783704,33296659
Traffik,2018-04-20,"Action,Thriller",96.0,Deon Taylor,"director,producer,writer",\N,alive,5.9,20711.0,4.182370518640839,4000000,9186156,9561231
Ghost Rider,2007-02-16,"Action,Fantasy,Thriller",110.0,Mark Steven Johnson,"writer,director,producer",\N,alive,5.2,242264.0,4.611445318999324,120000000,115802596,229545589
Head of State,2003-03-28,Comedy,95.0,Chris Rock,"producer,actor,writer",1965,alive,5.5,20625.0,3.8881986098256616,35200000,37788228,38283765
Bounce,2000-11-17,"Drama,Romance",106.0,Don Roos,"writer,director,producer",1955,alive,5.8,21150.0,4.118199250147315,35000000,36805288,53425292
Playing for Keeps,2012-12-07,"Comedy,Romance,Sport",105.0,Gabriele Muccino,"director,writer,producer",1967,alive,5.7,30558.0,4.199248412541118,35000000,13103272,27805632
The Face of Love,2013-10-25,"Drama,Mystery,Romance",92.0,Arie Posin,"director,writer,editor",\N,alive,6.2,5686.0,3.812070497068776,4000000,385069,1158877
Pocketful of Miracles,1961-12-19,"Comedy,Drama",136.0,Frank Capra,"director,writer,producer",1897,1991,7.1,7389.0,4.521428785632916,2900000,5000000,5000000
Elephant,2003-10-24,"Crime,Drama,Thriller",81.0,Gus Van Sant,"director,producer,writer",1952,alive,7.1,92998.0,5.844408922759437,3000000,1266955,10051516
Boomerang,1992-07-01,"Comedy,Drama,Romance",117.0,Reginald Hudlin,"producer,director,writer",1961,alive,5.6,30069.0,4.1166179771222415,42000000,70052444,131052444
X-Men: First Class,2011-06-03,"Action,Sci-Fi",131.0,Matthew Vaughn,"producer,director,writer",1971,alive,7.7,697895.0,7.491275506755403,160000000,146408305,355408305
One Missed Call,2008-01-04,"Horror,Mystery",87.0,Eric Valette,"director,writer",1967,alive,4.0,32757.0,2.927974588679496,20000000,26890041,44513466
Little Boy,2015-04-24,"Drama,History,War",106.0,Alejandro Monteverde,"director,producer,writer",1977,alive,7.3,23369.0,5.270930986918632,20000000,6485961,17769299
Lucky Numbers,2000-10-27,"Comedy,Crime",105.0,Nora Ephron,"writer,producer,director",1941,2012,5.1,10639.0,3.347437196837734,65000000,10014234,10014234
Bachelorette,2012-09-06,"Comedy,Romance",87.0,Leslye Headland,"producer,writer,director",1980,alive,5.3,47639.0,4.068459924087277,3000000,446770,12577401
The 13th Warrior,1999-08-27,"Action,Adventure,History",102.0,-,-,-,-,6.6,126588.0,5.573285247522999,125000000,32698899,61698899
Bloodsport,1988-02-26,"Action,Biography,Drama",92.0,Newt Arnold,"assistant_director,actor,writer",1922,2000,6.8,87046.0,5.558800648537893,1500000,11806119,11806119
Duets,2000-09-15,"Comedy,Drama,Music",112.0,Bruce Paltrow,"producer,writer,director",1943,2002,6.1,9742.0,3.9901151875450607,16000000,4734235,6615452
2 Guns,2013-08-02,"Action,Thriller",109.0,Baltasar Kormákur,"producer,director,writer",1966,alive,6.7,214520.0,5.919742031095194,61000000,75612460,132493015
I Can Only Imagine,2018-03-16,"Biography,Drama,Family",110.0,-,-,-,-,7.3,16670.0,5.089499393446698,7000000,83482352,85783567
Love Ranch,2010-06-30,"Biography,Comedy,Drama",117.0,Taylor Hackford,"producer,director,writer",1944,alive,5.6,3260.0,3.201204101852645,25000000,137885,146149
Spaceballs,1987-06-24,"Adventure,Comedy,Sci-Fi",96.0,Mel Brooks,"actor,writer,soundtrack",1926,alive,7.1,194186.0,6.229007526857026,22700000,38119483,38119483
Hidalgo,2004-03-05,"Action,Adventure,Biography",136.0,Joe Johnston,"director,visual_effects,producer",1950,alive,6.7,83245.0,5.453105228657579,78000000,67286731,108086731
Two Brothers,2004-06-25,"Adventure,Drama,Family",109.0,Jean-Jacques Annaud,"director,producer,writer",1943,alive,7.0,15425.0,4.834947385214888,72000000,19176754,62176754
Super 8,2011-06-10,"Action,Mystery,Sci-Fi",112.0,J.J. Abrams,"producer,writer,music_department",1966,alive,7.0,356792.0,6.452727210592867,50000000,127004179,257972745
Maggie,2015-05-08,"Drama,Horror,Sci-Fi",95.0,Henry Hobson,"miscellaneous,director,art_department",\N,alive,5.6,45047.0,4.283161480881361,4500000,187112,1027760
Gentleman's Agreement,1947-11-11,"Drama,Romance",118.0,Elia Kazan,"director,writer,producer",1909,2003,7.2,16867.0,5.024197929665739,2000000,7800000,7800000
Se7en,1995-09-22,"Crime,Drama,Mystery",127.0,David Fincher,"producer,director,actor",1962,alive,8.6,1664484.0,8.932271517290554,30000000,100125643,328125643
Runaway Bride,1999-07-30,"Comedy,Romance",116.0,Garry Marshall,"writer,producer,actor",1934,2016,5.6,100204.0,4.612572614947199,70000000,152257509,310138178
Arbitrage,2012-09-14,"Drama,Thriller",107.0,Nicholas Jarecki,"writer,director,producer",\N,alive,6.6,53225.0,5.152560565940117,12000000,7919574,35830713
The Last Exorcism,2010-08-27,"Horror,Mystery,Thriller",87.0,Daniel Stamm,"director,writer",1976,alive,5.7,50520.0,4.410087701882849,1800000,41034350,70165900
Good,2008-12-31,"Drama,Romance,War",92.0,Vicente Amorim,"director,assistant_director,writer",1966,alive,6.2,7532.0,3.940323097601616,16000000,31631,31631
Dheepan,2015-08-26,"Crime,Drama",115.0,Jacques Audiard,"writer,director,editorial_department",1952,alive,7.2,16168.0,5.001776617324417,9000000,248795,7704357
A Better Life,2011-06-24,"Drama,Romance",98.0,Chris Weitz,"producer,writer,director",1969,alive,7.2,16133.0,5.000628607554505,10000000,1759252,1884251
Charlie and the Chocolate Factory,2005-07-15,"Adventure,Comedy,Family",115.0,Tim Burton,"producer,miscellaneous,director",1958,alive,6.7,488960.0,6.325875146508909,150000000,206459076,475825484
30 Days of Night,2007-10-19,"Action,Adventure,Horror",113.0,David Slade,"producer,director,writer",1969,alive,6.6,179979.0,5.744167548172157,30000000,39568996,80276156
Queen of Katwe,2016-09-23,"Biography,Drama,Sport",124.0,Mira Nair,"director,producer,actress",1957,alive,7.4,17758.0,5.195447880852307,15000000,8874389,10055481
The Cooler,2003-11-26,"Drama,Romance",101.0,Wayne Kramer,"writer,director,art_department",1965,alive,6.9,34588.0,5.173944235062554,4000000,8291572,11131455
Honey,2003-12-05,"Drama,Music,Romance",94.0,Bille Woodruff,"director,producer,cinematographer",\N,alive,5.3,46234.0,4.056786325112805,18000000,30272254,62646763
The Thirteenth Floor,1999-05-28,"Mystery,Sci-Fi,Thriller",100.0,Josef Rusnak,"director,writer,assistant_director",1958,alive,7.0,73479.0,5.638907666115982,16000000,11810854,11810854
Knight and Day,2010-06-23,"Action,Adventure,Comedy",109.0,James Mangold,"producer,director,writer",1963,alive,6.3,198975.0,5.52358625244922,117000000,76423035,258751370
The Rainmaker,1997-11-21,"Crime,Drama,Thriller",135.0,Francis Ford Coppola,"producer,director,writer",1939,alive,7.2,77340.0,5.830914740531014,40000000,45916769,45916769
Terminator Salvation,2009-05-21,"Action,Adventure,Sci-Fi",115.0,McG,"producer,director,miscellaneous",1968,alive,6.5,365649.0,5.994128594612116,200000000,125322469,365491792
The Bodyguard,1992-11-25,"Action,Drama,Music",129.0,Mick Jackson,"director,producer,miscellaneous",1943,alive,6.3,138302.0,5.354984592159901,25000000,122006740,411006740
The Walk,2015-09-30,"Adventure,Biography,Drama",123.0,Robert Zemeckis,"producer,writer,director",1952,alive,7.3,130247.0,6.1936776847689226,35000000,10161183,61492104
Galaxina,1980-06-06,"Comedy,Sci-Fi",95.0,William Sachs,"director,writer,producer",1942,alive,3.6,3174.0,2.0037539849055213,5500000,4865000,4865000
